Date,LHD,Rainfall,Tmean,Tmax,Tmin,Elevation,Floodwave,Salmonella,Population,Incidence
2012-04-01,Central Coast,56.9,18.64,21.08,16.47,44,3,8,325163,2.460304524
2012-05-01,Central Coast,31.1,15.36,18.16,12.67,44,0,8,325163,2.460304524
2012-06-01,Central Coast,74.7,13.35,15.8,11.25,44,4,1,325163,0.307538066
2012-07-01,Central Coast,15.3,12.86,15.28,10.77,44,0,11,325163,3.382918721
2012-08-01,Central Coast,7.7,13.48,17.29,10.43,44,0,10,325163,3.075380655
2012-09-01,Central Coast,25,15.9,20.25,12.31,44,0,9,325163,2.76784259
2012-10-01,Central Coast,20.8,17.29,21.12,13.8,44,0,11,325163,3.382918721
2012-11-01,Central Coast,50.6,19.36,22.46,16.7,44,0,10,325163,3.075380655
2012-12-01,Central Coast,42.1,21.15,24.54,18.33,44,0,10,325163,3.075380655
2013-01-01,Central Coast,136.6,22.8,26.27,20.05,44,3,22,327745,6.71253566
2013-02-01,Central Coast,169.8,21.5,23.98,19.45,44,4,12,327745,3.661383087
2013-03-01,Central Coast,82.5,21.26,23.8,19.13,44,2,10,327745,3.051152573
2013-04-01,Central Coast,58.2,18.3,20.95,15.86,44,0,15,327745,4.576728859
2013-05-01,Central Coast,57.5,15.86,18.7,13.31,44,2,10,327745,3.051152573
2013-06-01,Central Coast,103.9,14.06,15.94,12.28,44,4,6,327745,1.830691544
2013-07-01,Central Coast,13.3,13.67,16.64,11.12,44,1,5,327745,1.525576286
2013-08-01,Central Coast,14.4,14.34,18.46,11.02,44,0,10,327745,3.051152573
2013-09-01,Central Coast,31.6,17.92,22.32,14.19,44,0,6,327745,1.830691544
2013-10-01,Central Coast,23,19.23,24.2,15.13,44,0,12,327745,3.661383087
2013-11-01,Central Coast,210,18.86,22.26,16,44,3,7,327745,2.135806801
2013-12-01,Central Coast,19.2,21.29,24.6,18.05,44,0,14,327745,4.271613602
2014-01-01,Central Coast,31,21.95,25.07,19.45,44,0,18,330377,5.44832116
2014-02-01,Central Coast,123.4,21.57,24.06,19.55,44,4,36,330377,10.89664232
